文件标题,时间,来源,正文标题,地块编号,宗地编号,拍卖结果,公开转让方式,挂牌时间,转让人,转让方,受让人,受让方,受让单位,位置,地块位置,出让面积(平方米),用途,成交价(万元),不动产权登记证号,出让合同编号,出让合同,变更协议编号,土地用途,使用年限,面积,土地面积(公顷),转让价格(单价总价),出让年限,土地使用条件,备注,公示期,联系单位,单位地址,邮政编码,联系电话,联系人,电子邮件,爬取地址url,唯一标识,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-08,山西省自然资源厅,,,GK2013-2号,,,,,,,,晋中开发区鸣天专用车配套有限公司,,晋中开发区汇通路西侧,,,840,,,,,其他商服用地,,,0.533365,,40年,,,2013年03月08日 至 2013年03月18日 ,山西省国土资源厅晋中经济技术开发区土地分局 单位地址：晋中市迎宾西街开发区管委会办公大楼 邮政编码：030600 联系电话：0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,晋中市迎宾西街开发区管委会办公大楼 邮政编码：030600 联系电话：0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,030600 联系电话：0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,时先生、王女士 电子邮件：,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130308_79469.shtml,c7defcaf35f35101916e0c8e4ab1c620,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-08,山西省自然资源厅,,,GK2013-3号,,,,,,,,吕,,晋中开发区汇通路西侧,,,405,,,,,其他商服用地,,,0.254875,,40年,,,2013年03月08日 至 2013年03月18日 ,山西省国土资源厅晋中经济技术开发区土地分局 单位地址：晋中市迎宾西街开发区管委会办公大楼 邮政编码：030600 联系电话：0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,晋中市迎宾西街开发区管委会办公大楼 邮政编码：030600 联系电话：0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,030600 联系电话：0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,0354-3368707、18603512422 联 系 人：时先生、王女士 电子邮件：,时先生、王女士 电子邮件：,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130308_79469.shtml,c7defcaf35f35101916e0c8e4ab1c620,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-02-04,山西省自然资源厅,,,2012-16,,,,,,,,山西大邦盈辉环保科技有限公司,,东至2012-19宗地、南至2012-17宗地、西至规划路、北至绿化带（龙城大街）,,,4030,,,,,商务金融用地,,,0.85289,,40年,,,2013年02月05日 至 2013年02月21日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201302/t20130204_79468.shtml,c390f69c9d116bb1a95f298dcc60c5d3,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-02-04,山西省自然资源厅,,,2012-17,,,,,,,,山西瀚翔光纤科技有限公司,,东至2012-19宗地、南至2012-18宗地、西至规划路、北至2012-16宗地,,,3308,,,,,商务金融用地,,,0.73742,,40年,,,2013年02月05日 至 2013年02月21日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201302/t20130204_79468.shtml,c390f69c9d116bb1a95f298dcc60c5d3,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-02-04,山西省自然资源厅,,,2012-18,,,,,,,,山西问天科技股份有限公司,,东至山西省汾河灌溉管理局一坝分局、南至龙城南街、西至规划路、北至2012-17宗地,,,3490,,,,,商务金融用地,,,0.74592,,40年,,,2013年02月05日 至 2013年02月21日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201302/t20130204_79468.shtml,c390f69c9d116bb1a95f298dcc60c5d3,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-02-04,山西省自然资源厅,,,2012-19,,,,,,,,山西国信凯尔生物技术有限公司,,东至绿化带、南至太原市市政池渠设施管理处、西至2012-16宗地、北至绿化带,,,3954,,,,,商务金融用地,,,0.83631,,40年,,,2013年02月05日 至 2013年02月21日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201302/t20130204_79468.shtml,c390f69c9d116bb1a95f298dcc60c5d3,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-02-04,山西省自然资源厅,,,2012-20,,,,,,,,山西同方知网数字出版技术有限公司,,东至空地、南至2012-21宗地、西至空地、北至龙城大街,,,3140,,,,,工业用地,,,2.02669,,50年,,,2013年02月05日 至 2013年02月21日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201302/t20130204_79468.shtml,c390f69c9d116bb1a95f298dcc60c5d3,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-02-04,山西省自然资源厅,,,2012-21,,,,,,,,山西虹安科技股份有限公司,,东至空地、南至空地、西至空地、北至2012-20宗地,,,1978,,,,,工业用地,,,1.34763,,50年,,,2013年02月05日 至 2013年02月21日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201302/t20130204_79468.shtml,c390f69c9d116bb1a95f298dcc60c5d3,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-22,山西省自然资源厅,,,2013-1,,,,,,,,启迪（太原）科技园投资发展有限公司,,东至规划路、南至太原高新区建设投资有限公司、西至山西奥科新得信息技术有限公司、北至规划路,,,765,,,,,商务金融用地,,,0.17372,,40年,,,2013年03月25日 至 2013年04月08日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130322_79470.shtml,d6ff21d5cd39b88a036735e31cca67e5,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-22,山西省自然资源厅,,,2013-2,,,,,,,,山西中特房地产开发有限公司,,东至山西太原江南餐饮集团有限公司、南至山西文瀛房地产开发有限公司、西至山西金辉粉煤灰制砖技术设备有限公司、北至大马社区,,,3981,,,,,其他普通商品住房用地,,,1.17589,,70年,,,2013年03月25日 至 2013年04月08日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130322_79470.shtml,d6ff21d5cd39b88a036735e31cca67e5,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-22,山西省自然资源厅,,,2013-6,,,,,,,,太原市金鹰房地产开发有限公司,,东至规划路、南至殷家堡社区、西至殷家堡社区、北至南中环街,,,374,,,,,商务金融用地,,,0.06571,,40年,,,2013年03月25日 至 2013年04月08日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130322_79470.shtml,d6ff21d5cd39b88a036735e31cca67e5,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-22,山西省自然资源厅,,,2013-7,,,,,,,,太原市金鹰房地产开发有限公司,,东至规划路、南至殷家堡社区、西至规划路、北至南中环街,,,2416,,,,,商务金融用地,,,0.48752,,40年,,,2013年03月25日 至 2013年04月08日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130322_79470.shtml,d6ff21d5cd39b88a036735e31cca67e5,
山西省国土资源厅太原高新技术开发区土地分局国有土地使用权招拍挂出让成交公示,2013-03-22,山西省自然资源厅,,,2013-8,,,,,,,,太原市金鹰房地产开发有限公司,,东至产业路、南至殷家堡社区、西至规划路、北至南中环街,,,1128,,,,,商务金融用地,,,0.24085,,40年,,,2013年03月25日 至 2013年04月08日 ,山西省国土资源厅太原高新技术开发区土地分局单位地址：太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,太原高新区高新街32号邮政编码：030006联系电话：03517036399联 系,030006联系电话：03517036399联 系,03517036399联 系,,tygxtdfj860@163.com,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201303/t20130322_79470.shtml,d6ff21d5cd39b88a036735e31cca67e5,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-09-14,山西省自然资源厅,,,GK2018-15,,,,,,晋中开发区嘉晟伟业房地产开发有限公司,,,,广安街南侧、王河路东侧,,,24090,,,,,商住,,,92.6359,,,,,2018年9月14日 至 2018年9月19日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201809/t20180914_79574.shtml,44693ad90a67e5abae67d5d8ea7c5559,
太原市公开转让HGZ-1636、HGZ-1637、HGZ-1638、HGZ-1639国有划拨土地使用权结果公示,2017-02-13,山西省自然资源厅,,HGZ-1636,,,挂牌,2017-1-16至2017-1-26,,,太原颖沅房地产开发有限公司,,,位于晋源区长兴南街以北、西中环以东、和平南路以西,,17222.49,商业,21550,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201702/t20170213_79562.shtml,3bf1524633c4bc78878b0af0b8620788,
太原市公开转让HGZ-1636、HGZ-1637、HGZ-1638、HGZ-1639国有划拨土地使用权结果公示,2017-02-13,山西省自然资源厅,,HGZ-1637,,,挂牌,2017-1-16至2017-1-26,,,太原颖沅房地产开发有限公司,,,位于晋源区长兴南街以北、西中环以东、和平南路以西,,10000.76,小学,4550,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201702/t20170213_79562.shtml,3bf1524633c4bc78878b0af0b8620788,
太原市公开转让HGZ-1636、HGZ-1637、HGZ-1638、HGZ-1639国有划拨土地使用权结果公示,2017-02-13,山西省自然资源厅,,HGZ-1638,,,挂牌,2017-1-16至2017-1-26,,,太原颖沅房地产开发有限公司,,,位于晋源区长兴北街以北、西中环以西,,42532.3,居住兼容商业、配建托幼,40780,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201702/t20170213_79562.shtml,3bf1524633c4bc78878b0af0b8620788,
太原市公开转让HGZ-1636、HGZ-1637、HGZ-1638、HGZ-1639国有划拨土地使用权结果公示,2017-02-13,山西省自然资源厅,,HGZ-1639,,,挂牌,2017-1-16至2017-1-26,,,山西合众瑞通投资有限公司,,,位于晋源区长兴南街以北、和平南路以东、排洪渠以南,,10229.73,商业,13260,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201702/t20170213_79562.shtml,3bf1524633c4bc78878b0af0b8620788,
太原市公开转让HGZ-1701国有划拨土地使用权结果公示,2017-02-23,山西省自然资源厅,,HGZ-1701,,,挂牌,2017-1-26至2017-2-15,,,山西北辰当代置业有限公司,,,位于晋源区西峪河以南、南中环西街以北、规划路以东以南,,13660.43,居住兼容商业,9760,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201702/t20170223_79563.shtml,37bc76e9f5a494a576f4b7aa04decd0e,
太原市出让国有建设用地使用权转让公示(2017)第1期,2017-03-15,山西省自然资源厅,,,,,,,,山西海基房地产开发有限公司；,,太原恒睿房地产开发有限公司,,小店区军民南路以东、荣军北街以北、坞城中路以西,,,,,【晋2016太原市不动产权第0000406】号,1401052009041,,1401052016092,商业住宅用地；,住宅42.48年商业32.48年,31893.87平方米；,,13727元/平方米，总额为43782.2115万元。,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201703/t20170315_79564.shtml,f12bafd4bc14f166f49a60f538e10126,
太原市局公开转让HGZ-1702、HGZ-1703、HGZ-1704、HGZ-1705国有划拨土地使用权结果公示,2017-05-04,山西省自然资源厅,,HGZ-1702,,,挂牌,2017-4-6至2017-4-20,,,山西北辰当代置业有限公司,,,位于晋源区武家庄村，太原化学工业集团有限公司以东、规划路以南、南中环西街以北,,35799.99,住宅兼容商业,35870,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170504_79565.shtml,0ff23f4748c9bc0b2ba184085670a32d,
太原市局公开转让HGZ-1702、HGZ-1703、HGZ-1704、HGZ-1705国有划拨土地使用权结果公示,2017-05-04,山西省自然资源厅,,HGZ-1703,,,挂牌,2017-4-6至2017-4-20,,,山西省投资集团高新建设开发有限公司,,,位于晋源区武家庄村，太原圣湖贸易有限公司用地以南，规划路以东、以西，冶峪北街以北,,23761.84,住宅兼容商业,19890,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170504_79565.shtml,0ff23f4748c9bc0b2ba184085670a32d,
太原市局公开转让HGZ-1702、HGZ-1703、HGZ-1704、HGZ-1705国有划拨土地使用权结果公示,2017-05-04,山西省自然资源厅,,HGZ-1704,,,挂牌,2017-4-6至2017-4-20,,,山西省投资集团高新建设开发有限公司,,,位于晋源区武家庄村，规划路以东、以西、以北，南中环西街以南,,94702.32,住宅兼容商业、托幼,76150,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170504_79565.shtml,0ff23f4748c9bc0b2ba184085670a32d,
太原市局公开转让HGZ-1702、HGZ-1703、HGZ-1704、HGZ-1705国有划拨土地使用权结果公示,2017-05-04,山西省自然资源厅,,HGZ-1705,,,挂牌,2017-4-6至2017-4-20,,,山西省投资集团高新建设开发有限公司,,,位于晋源区武家庄村，规划路以东、以西，南中环西街以南、太原圣湖贸易有限公司用地以北,,46321.57,商业,61300,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170504_79565.shtml,0ff23f4748c9bc0b2ba184085670a32d,
太原市二0一七年公开转让HGZ-1707、HGZ-1712、HGZ-1713国有划拨土地使用权结果公示,2017-05-16,山西省自然资源厅,,HGZ-1707,,,挂牌,2017-4-24至2017-5-9,,,山西国雅房地产开发有限公司,,,位于晋源区南中环西街以南、西干渠以西、南屯路以东,,23333.8,居住兼容商业,19990,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79566.shtml,bca555bb7e9a167b6f3b862c20755e7d,
太原市二0一七年公开转让HGZ-1707、HGZ-1712、HGZ-1713国有划拨土地使用权结果公示,2017-05-16,山西省自然资源厅,,HGZ-1712,,,挂牌,2017-4-24至2017-5-9,,,太原万科城市之光房地产开发有限公司,,,位于迎泽区东太堡村，规划路以东、以西、以北，山西龙鼎房地产开发股份有限公司以南,,9551.84,住宅,6440,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79566.shtml,bca555bb7e9a167b6f3b862c20755e7d,
太原市二0一七年公开转让HGZ-1707、HGZ-1712、HGZ-1713国有划拨土地使用权结果公示,2017-05-16,山西省自然资源厅,,HGZ-1713,,,挂牌,2017-4-24至2017-5-9,,,太原万科城市之光房地产开发有限公司,,,位于迎泽区东太堡村，规划路以东、以西、以北，山西龙鼎房地产开发股份有限公司以南,,10598.25,住宅,7440,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79566.shtml,bca555bb7e9a167b6f3b862c20755e7d,
太原市二0一七年公开转让HGZ-1715、HGZ-1716、HGZ-1717、HGZ-1718、HGZ-1719、HGZ-1720国有划...,2017-05-16,山西省自然资源厅,,HGZ-1715,,,挂牌,2017-04-28至2017-05-15,,,山西光泗房地产开发有限公司,,,万柏林区山西涤纶厂以南以东、千峰北路以西、规划路以北,,5648.34,居住兼容商业,3230,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79567.shtml,4d20d453440245e39b12fa5ef637ccb3,
太原市二0一七年公开转让HGZ-1715、HGZ-1716、HGZ-1717、HGZ-1718、HGZ-1719、HGZ-1720国有划...,2017-05-16,山西省自然资源厅,,HGZ-1716,,,挂牌,2017-04-28至2017-05-15,,,山西光泗房地产开发有限公司,,,万柏林区山西涤纶厂以南以东、千峰北路以西、河西机械厂以北,,4435.24,居住兼容商业,3420,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79567.shtml,4d20d453440245e39b12fa5ef637ccb3,
太原市二0一七年公开转让HGZ-1715、HGZ-1716、HGZ-1717、HGZ-1718、HGZ-1719、HGZ-1720国有划...,2017-05-16,山西省自然资源厅,,HGZ-1717,,,挂牌,2017-04-28至2017-05-15,,,山西光泗房地产开发有限公司,,,万柏林区规划路以南以北、千峰北路以西、后北屯城改用地以东,,4733.98,商业,4950,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79567.shtml,4d20d453440245e39b12fa5ef637ccb3,
太原市二0一七年公开转让HGZ-1715、HGZ-1716、HGZ-1717、HGZ-1718、HGZ-1719、HGZ-1720国有划...,2017-05-16,山西省自然资源厅,,HGZ-1718,,,挂牌,2017-04-28至2017-05-15,,,太原新城凯拓房地产开发有限公司,,,万柏林区规划路以南以北以西、后北屯城改用地以东,,14293.12,居住兼容商业,10850,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79567.shtml,4d20d453440245e39b12fa5ef637ccb3,
太原市二0一七年公开转让HGZ-1715、HGZ-1716、HGZ-1717、HGZ-1718、HGZ-1719、HGZ-1720国有划...,2017-05-16,山西省自然资源厅,,HGZ-1719,,,挂牌,2017-04-28至2017-05-15,,,太原新城凯拓房地产开发有限公司,,,万柏林区规划路以南以北以东、工业设备安装公司以西,,11545.16,居住兼容商业,8660,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79567.shtml,4d20d453440245e39b12fa5ef637ccb3,
太原市二0一七年公开转让HGZ-1715、HGZ-1716、HGZ-1717、HGZ-1718、HGZ-1719、HGZ-1720国有划...,2017-05-16,山西省自然资源厅,,HGZ-1720,,,挂牌,2017-04-28至2017-05-15,,,太原新城凯拓房地产开发有限公司,,,万柏林区规划路以西、工业设备安装公司以南、后北屯城改用地以东以北,,56184.36,居住兼容商业、托幼,42060,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201705/t20170516_79567.shtml,4d20d453440245e39b12fa5ef637ccb3,
山西转型综改示范区土地管理局国有土地划拨用地批前公示,2017-12-29,山西省自然资源厅,,,XD-12-01-01,,,,,,,,太原学院（原太原大学）,,唐槐园区,,,,,,,,科教用地,,,2.8226,,,,,2017年12月27日 至 2018年01月11日 ,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201712/t20171229_79570.shtml,6b7b2334a361afb29e2855915244369d,
山西转型综改示范区土地管理局国有土地划拨用地批前公示,2017-12-29,山西省自然资源厅,,,XD-12-01-01,,,,,,,,太原学院（原太原大学）,,唐槐园区,,,,,,,,科教用地,,,2.8226,,,,,2017年12月27日 至 2018年01月11日 ,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201712/t20171229_79570.shtml,6b7b2334a361afb29e2855915244369d,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-04-19,山西省自然资源厅,,,GK2018-9,,,,,,晋中普宿仓储设施有限公司,,,,晋中开发区太旧高速公路以南、规划路以东,,,6000,,,,,,,,176.3980,,仓储用地,,,2018年4月19日 至 2018年4月28日,晋中市国土资源局开发区土地分局 ,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201804/t20180419_79571.shtml,2fb655ead0775a73289e6ecd59614fc4,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-04-19,山西省自然资源厅,,,GK2018-10,,,,,,山西祖昌实业有限公司,,,,晋中开发区秋峪公路北侧、规划路以西,,,17510,,,,,,,,499.2659,,工业用地,,,2018年4月19日 至 2018年4月28日,晋中市国土资源局开发区土地分局 ,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201804/t20180419_79571.shtml,2fb655ead0775a73289e6ecd59614fc4,
