公告类型,文件标题,时间,来源,正文标题,宗地编号,土地位置,出让面积(m2),绿化用地,道路用地,土地用途,岀让年限,容积率,建筑密度,绿地率,建筑空间,起始价(万元),保证金(万元),竞价幅度(万元),报名时间起止日期,挂牌开始时间,挂牌截止时间,保证金到账截止时间,联系地址,联系人,联系电话,爬取地址url,唯一标识,
出让公告,太原市国土资源局国有建设用地使用权拍卖出让公告(并国土公出告字[2017]01号),2017-01-25,山西省自然资源厅,,SP-1701,东至水峪村界、北至松庄村，西至松庄村，南至居民小区,22077.2,,,住宅,住宅70年,2.6-3.0,25,35,,6890万元,6890万元,,,,,2017年02月13日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201701/t20170125_79173.shtml,fb0190ae22787d352634c2c6d62cbae1,
出让公告,太原市国土资源局国有建设用地使用权拍卖出让公告(并国土公出告字[2017]01号),2017-01-25,山西省自然资源厅,,SP-1702,,2393.4平方米,,,居住兼容商业,住宅70年,2.0-3.72,25,35,,1720万元,1720万元,,,,,2017年02月13日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201701/t20170125_79173.shtml,fb0190ae22787d352634c2c6d62cbae1,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]02号),2017-01-25,山西省自然资源厅,,SG-1703,位于晋阳街28号，东至日神集团，西至山西日神用地，南至大吴村，北至日神集团,64979.91平方米,,,居住兼容商业,住宅70年,2.6,25,35,,39070万元,39070万元,,2017年2月14日至2017年2月24日,2017年2月14日08时00分,2017年2月28日9时00分,2017年2月24日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201701/t20170125_79174.shtml,42e30caf197bafe11ea1694daa06ae03,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]03号),2017-01-25,山西省自然资源厅,,SG-1704,位于晋阳街28号，东至北营街办，西至日神公司，南至大吴村，北至市资产经营公司,40089.71平方米,,,居住兼容商业,住宅70年,2.28,27.2,35,,23890万元,23890万元,,2017年2月14日至2017年2月24日,2017年2月14日08时00分,2017年2月28日10时00分,2017年2月24日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201701/t20170125_79175.shtml,cba3a210435c30bda318afb2feefe152,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]04号),2017-01-25,山西省自然资源厅,,SG-1705,位于晋阳街80号，东至深圳日神实业公司，西至山针路，南至荣军北街，北至规划路,42018.49平方米,,,居住兼容商业,住宅70年,2.6,21,35,,24840万元,24840万元,,2017年2月14日至2017年2月24日,2017年2月14日08时00分,2017年2月28日11时00分,2017年2月24日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201701/t20170125_79176.shtml,9c820fb4a7bf7b88979bf40a1b658aa7,
出让公告,太原市国土资源局国有建设用地使用权拍卖出让公告并国土公出告字[2017] 05 号),2017-02-13,山西省自然资源厅,,SP-1706,位于滨河西路以西，东至滨河西路、南至健康南街、西至健康西街，北至健康北街,23889.64平方米,,,体育用地,40年,5.0,38,22,,14340万元,14340万元,,,,,2017年02月27日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201702/t20170213_79177.shtml,df95216a6c0289c0b836dd23a6dbe52b,
出让公告,太原市国土资源局国有建设用地使用权拍卖出让公告(并国土公出告字[2017] 06 号),2017-02-23,山西省自然资源厅,,SP-1707,,19985.93平方米,,,商业,40年,1.6-2.0,32-40,25,,13110万元,13110万元,,,,,2017年3月13日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201702/t20170223_79178.shtml,a5431e9e19eb1ffb4ceff96a2df1f37e,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]07号),2017-03-15,山西省自然资源厅,,SG-1708,位于义井街办吴家堡村，东至山西省汾河水利管理局一坝分局，南、西至冶峪河，北至山西吴家堡坤源投资有限公司,2381.18平方米,,,住宅,70年,4.0,32,25,,1740万元,1740万元,,2017年3月29日至2017年4月11日,2017年3月29日08时,2017年4月13日9时,2017年4月11日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201703/t20170315_79179.shtml,6c03c5707444d21f33b507ee362e1513,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]09号),2017-03-15,山西省自然资源厅,,SG-1710,迎泽区马庄村，西至东峰路、北至东至南至规划路,48902.47平方米,,,居住兼容商业,住宅70年,4.0,33,25,,17690万元,17690万元,,2017年4月5日至2017年4月17日,2017年4月5日08时00分,2017年4月19日10时00分,2017年4月17日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201703/t20170315_79181.shtml,85266f74bd20965d04a4aaf042c82bc7,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]02号),2017-03-17,山西省自然资源厅,,HGZ-1702,位于晋源区武家庄村，太原化学工业集团有限公司以东、规划路以南、南中环西街以北,35799.99平方米,,,住宅兼容商业,住宅70年商业40年,4.47,30,25,,34570万元,34570万元,,2017年4月6日至2017年4月18日,2017年4月6日,2017年4月20日,2017年4月18日18时00分,,,,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201703/t20170317_79182.shtml,2819e5389b8cb2be2287a3d3747437ec,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]03号),2017-03-17,山西省自然资源厅,,HGZ-1703,位于晋源区武家庄村，太原圣湖贸易有限公司用地以南，规划路以东、以西，冶峪北街以北,23761.84平方米,,,住宅兼容商业,住宅70年商业40年,4.17,25,25,,19190万元,19190万元,,2017年4月6日至2017年4月18日,2017年4月6日,2017年4月20日,2017年4月18日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201703/t20170317_79183.shtml,d63377ad9d90a5a4cb22de098bd288a6,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]04号),2017-03-17,山西省自然资源厅,,HGZ-1704,位于晋源区武家庄村，规划路以东、以西、以北，南中环西街以南,94702.32平方米,,,住宅兼容商业,住宅70年商业40年,4.09,30,25,,73250万元,73250万元,,2017年4月6日至2017年4月18日,2017年4月6日,2017年4月20日,2017年4月18日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201703/t20170317_79184.shtml,9d5b42c0c5bcb539429469dd96d2e00a,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]05号),2017-03-17,山西省自然资源厅,,HGZ-1705,位于晋源区武家庄村，规划路以东、以西，南中环西街以南、太原圣湖贸易有限公司用地以北,46321.57平方米,,,商业,40年,5.19,45,15,,59000万元,59000万元,,2017年4月6日至2017年4月18日,2017年4月6日,2017年4月20日,2017年4月18日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201703/t20170317_79185.shtml,347e1f98c9e74b2fbbd486dca972d0a9,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]06号),2017-04-01,山西省自然资源厅,,HGZ-1706,万柏林区闫家沟社区以西、市煤运公司宿舍以东、西矿街以南、闫家沟社区以北,5566.6平方米,,,商业,40年,5.46,48.42,3.64,,4410万元,4410万元,,2017年04月19日至2017年05月02日,2017年04月19日08时00分,2017年05月04日10时00分,2017年05月02日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170401_79186.shtml,40eb480f8aa38fc288d7efa3e5adfd2e,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]10号),2017-04-06,山西省自然资源厅,,SG-1711,万柏林区东社村，西至规划绿地、北至南至太原国投房地产开发有限公司用地、东至规划路；,10594.14平方米,,,居住兼容商业,住宅70年商业40年,4.0,30,28,,5580万元,5580万元,,2017年04月24日至2017年05月05日,2017年04月24日,2016年05月09日,2017年05月05日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79187.shtml,05d5d4ab765d923935f17c235dda813a,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]07号),2017-04-06,山西省自然资源厅,,HGZ-1707,位于晋源区南中环西街以南、西干渠以西、南屯路以东,23333.8平方米,,,居住兼容商业,住宅70年,4.8,26,25,,19290万元,19290万元,,2017年04月24日至2017年05月05日,2017年04月24日,2017年05月09日,2017年05月05日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79188.shtml,1c8a2be1de381ccfdd9605e69263f484,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]08号),2017-04-06,山西省自然资源厅,,HGZ-1708,,16435.85平方米,,,小学,50年,1.0,绿化率(%)：,土地用途：,,5280万元,5280万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日9时00分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79189.shtml,a052c198215618b480253d33ec1d1b03,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]09号),2017-04-06,山西省自然资源厅,,HGZ-1709,,11130.74平方米,,,住宅兼容商业、托幼,住宅70年,7.4,46,25,,6090万元,6090万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日9时30分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79190.shtml,2864b039ae2ea68eec6ad289a4ff3be1,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]10号),2017-04-06,山西省自然资源厅,,HGZ-1710,,15309.59平方米,,,住宅兼容商业,住宅70年,6.6,35,25,,11200万元,11200万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日10时00分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79191.shtml,060683006d99c7cf607932e1a6524d42,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]11号),2017-04-06,山西省自然资源厅,,HGZ-1711,,25844.62平方米,,,住宅兼容商业,住宅70年,7.0,35,25,,20060万元,20060万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日10时30分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79192.shtml,0eaf03e9e3b56d13236840606ba69d07,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]12号),2017-04-06,山西省自然资源厅,,HGZ-1712,,9551.84平方米,,,住宅,70年,5.5,28,25,,6140万元,6140万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日11时00分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79193.shtml,6b1efb9c69c4be38750a5afdb6eae927,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]13号),2017-04-06,山西省自然资源厅,,HGZ-1713,,10598.25平方米,,,住宅,70年,6.0,28,25,,7140万元,7140万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日11时30分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79194.shtml,4c754de4c81e5f3f85c57ef06a780372,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]14号),2017-04-06,山西省自然资源厅,,HGZ-1714,,14523.94平方米,,,住宅兼容商业,住宅70年,4.1,28,25,,7960万元,7960万元,,2017年04月24日至2017年05月05日,2017年04月24日08时00分,2017年05月09日12时00分,2017年05月05日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170406_79195.shtml,5b1094acfeddbe4daf80bd4b56c15eae,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2016] 33号),2016-11-24,山西省自然资源厅,,HGZ-1632,,11988.87平方米,,,居住兼容商业,住宅70年,4.0,32,25,,9200万元,9200万元,,2016年12月16日至2016年12月28日,,,2016年12月28日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161124_79151.shtml,80257e6a09ddb01724c05eb1cfaa21e0,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]53号),2016-12-24,山西省自然资源厅,,SG-1659,尖草坪区三给片区内，四至为：西至西干渠、北至三给街,32246.13平方米,,,住宅兼容商业,住宅70年,4.0,30,25,,16980万元,16980万元,,2017年01月13日至2017年01月23日,2017年01月13日,2017年01月25日,2017年01月23日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201612/t20161224_79165.shtml,530bc7fb9220b8ba0e881fc6f2294b1b,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]39号),2016-11-08,山西省自然资源厅,,SG-1640,万柏林区黄坡村、寨沟村长风城郊森林公园内,80174.49平方米,,,居住兼容商业,住宅70年,1.05,25,40,,10230万元,10230万元,,2016年11月21日至2016年12月01日,2016年11月21日,2016年12月05日,2016年12月01日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161108_79135.shtml,7e26b3e1e8518f3e839e018742bc2697,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]40号),2016-11-08,山西省自然资源厅,,SG-1641,万柏林区黄坡村、寨沟村长风城郊森林公园内,40799.46平方米,,,住宅,70年,1.05,25,40,,5210万元,5210万元,,2016年11月21日至2016年12月01日,2016年11月21日,2016年12月05日,2016年12月01日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161108_79136.shtml,ae0c1a3780282f265b91cb887be46812,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]41号),2016-11-08,山西省自然资源厅,,SG-1642,万柏林区黄坡村、寨沟村长风城郊森林公园内,59986.8平方米,,,住宅,70年,1.05,25,40,,7650万元,7650万元,,2016年11月21日至2016年12月01日,2016年11月21日,2016年12月05日,2016年12月01日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161108_79137.shtml,e346e0f2248bc6f131fb70fc5b9b3e3d,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]42号),2016-11-08,山西省自然资源厅,,SG-1643,万柏林区西峪煤矿以东、以北，万亩生态园以南，西北环高速公路以西,6721.95平方米,,,商业,商业40年,1.5,45,30,,860万元,860万元,,2016年11月21日至2016年12月01日,2016年11月21日,2016年12月05日,2016年12月01日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161108_79138.shtml,0cde5aca41a1d6a57d242ac83025ac94,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]43号),2016-11-08,山西省自然资源厅,,SG-1644,万柏林区西峪煤矿以东、以北，万亩生态园以南，西北环高速公路以西,8938.55平方米,,,商业,商业40年,1.5,45,30,,1140万元,1140万元,,2016年11月21日至2016年12月01日,2016年11月21日,2016年12月05日,2016年12月01日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161108_79139.shtml,f3f916154bc63559f70bd80b8e22ae15,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]44号),2016-11-08,山西省自然资源厅,,SG-1645,万柏林区西峪煤矿以东、以北，万亩生态园以南，西北环高速公路以西,584.14平方米,,,商业,商业40年,1.5,40,35,,75万元,75万元,,2016年11月21日至2016年12月01日,2016年11月21日,2016年12月05日,2016年12月01日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201611/t20161108_79140.shtml,83b0da3808346d3a396705970140e3bd,
