文件标题,发布时间,文章来源,索引号,信息分类,发布机构,发文日期,文号,是否有效,信息名称,正文标题,宗地编号/地块编号,宗地总面积/挂牌面积(m2),土地坐落/宗地坐落,使用年限,岀让年限,容积率,建筑密度(%)/建筑密度,绿地率/|绿化率(%),建筑限高/建筑限高(米),土地用途明细/土地用途,投资强度,保证金(万元)/保证金,估价报告备案号,起始价/起始价(万元),加价幅度,挂牌开始时间,挂牌截止时间,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系人,联系电话,开户单位,开户银行,银行帐号,爬取时间,爬取地址url,唯一标识,
大方县自然资源局国有土地使用权挂牌出让公告(方自然资挂让告字[2019]15号),2019年10月28日 16:03,贵州省自然资源厅,GZ000001/2019-20681,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,大方县自然资源局国有土地使用权挂牌出让公告(方自然资挂让告字[2019]15号),大方县自然资源局国有土地使用权挂牌出让公告(方自然资挂让告字[2019]15号),|2019DFJZ53|2019DFSF34|2019DFSF35|2019DFSF36|2019DFSF37|2019DFSF38|2019DFSF39|2019DFSF40|2019DFSF41,|41781.24平方米|403平方米|1280平方米|141平方米|213平方米|117平方米|113平方米|336平方米|161平方米,|顺德街道办事处白石村|核桃乡木寨村|核桃乡木寨村|核桃乡木寨村|核桃乡木寨村|核桃乡木寨村|核桃乡木寨村|核桃乡木寨村|核桃乡木寨村,,|70年|40年|40年|40年|40年|40年|40年|40年|40年,|大于1并且小于或等于2.5|小于或等于1.2|小于或等于1.2|小于或等于1.2|小于或等于1.2|小于或等于1.2|小于或等于1.2|小于或等于1.2|小于或等于1.2,|小于或等于30|小于或等于35|小于或等于35|小于或等于35|小于或等于35|小于或等于35|小于或等于35|小于或等于35|小于或等于35,|大于或等于35|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30,|小于或等于80|小于或等于18|小于或等于18|小于或等于18|小于或等于18|小于或等于18|小于或等于18|小于或等于18|小于或等于18,|城镇住宅用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|1154万元|4万元|13万元|1.4万元|2.1万元|1.2万元|1.1万元|3.3万元|1.6万元,,|5766万元|19.58万元|62.19万元|6.85万元|10.35万元|5.68万元|5.49万元|16.32万元|7.82万元,|20万元|5万元|5万元|2万元|5万元|2万元|2万元|5万元|3万元,|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分|2019年10月08日09时00分,,2019年09月19日 至 2019年10月16日 ,大方县土地矿权征收储备交易局 ,2019年10月08日 至 2019年10月16日 ,大方县土地矿权征收储备交易局 ,2019年10月16日15时00分,2019年10月16日04时00分 ,大方县土地矿权征收储备交易局,,0857-5234149,大方县财政局预算外资金专户,中国邮政储蓄银行股份有限公司大方县支行,10020493489001000,2020-04-29 10:08:51,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869125.html,5426cac597a84a185f1fa3e2bdb1b34f,
黔西南州自然资源局义龙新区分局国有土地使用权挂牌出让公告(义龙自然告字[2019]25-1号),2019年10月28日 16:04,贵州省自然资源厅,GZ000001/2019-20683,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,黔西南州自然资源局义龙新区分局国有土地使用权挂牌出让公告(义龙自然告字[2019]25-1号),黔西南州自然资源局义龙新区分局国有土地使用权挂牌出让公告(义龙自然告字[2019]25-1号),|2019-95号|2019-96号|2019-97号,|3937平方米|14514平方米|15426平方米,|义龙新区郑屯镇郑屯村|义龙新区顶效镇团结村|义龙新区顶效镇团结村,,|50年|50年|50年,|大于1|大于0.7|大于0.7,|大于30|大于30|大于30,|小于20|小于20|小于20,,|工业用地|工业用地|工业用地,|万元/公顷|万元/公顷|万元/公顷,|33万元|124万元|95万元,,|0.0394万元|0.0406万元|0.0292万元,|0.001万元|0.001万元|0.001万元,|2019年10月19日09时00分|2019年10月19日09时00分|2019年10月19日09时00分,|||2019年10月29日15时00分,2019年09月21日 至 2019年10月18日 ,,2019年09月21日 至 2019年10月18日 ,黔西南州公共资源交易中心 ,2019年10月18日17时00分,2019年10月18日17时00分 ,龙广镇人民政府 黔西南州国土资源局义龙新区分局,罗会斌、符丹、杨战,0859-3521442,黔西南州公共资源交易中心,贵阳银行股份有限公司兴义分行,38110121050000091,2020-04-29 10:08:52,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869127.html,cb6cb44390f94bce61fe11bdcbf760d5,
黄果树旅游区国土资源分局国有土地使用权挂牌出让公告(安市公资交（地）字告[2019]69号),2019年10月28日 16:05,贵州省自然资源厅,GZ000001/2019-20685,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,黄果树旅游区国土资源分局国有土地使用权挂牌出让公告(安市公资交（地）字告[2019]69号),黄果树旅游区国土资源分局国有土地使用权挂牌出让公告(安市公资交（地）字告[2019]69号),|黄果树特色小城镇2019-3-1号地块|黄果树特色小城镇2019-3-2号地块|黄果树特色小城镇2019-3-3号地块,|89980.16平方米|96779.54平方米|87376.91平方米,|黄果树特色小城镇|黄果树特色小城镇|黄果树特色小城镇,,|40年|40年|40年,|小于或等于1.5|小于或等于1.5|小于或等于1.5,|小于或等于30|小于或等于30|小于或等于30,|大于或等于35|大于或等于35|大于或等于35,|小于或等于45|小于或等于45|小于或等于45,|餐饮用地|餐饮用地|餐饮用地,|万元/公顷|万元/公顷|万元/公顷,|7153.41万元|7694.01万元|6946.71万元,,|7153.41万元|7694.01万元|6946.71万元,|100万元|100万元|100万元,|2019年10月14日09时30分|2019年10月14日09时30分|2019年10月14日09时30分,,2019年09月24日 至 2019年10月22日 ,安顺市公共资源交易中心（安顺市西秀区武当山路与定安大道交叉路口企业服务中心） ,2019年09月24日 至 2019年10月22日 ,安顺市公共资源交易中心（安顺市西秀区武当山路与定安大道交叉路口企业服务中心） ,2019年10月22日17时00分,2019年10月23日12时00分 ,安顺市公共资源交易中心（安顺市西秀区武当山路与定安大道交叉路口企业服务中心）,,0851-33350261,安顺市公共资源交易中心,贵州银行安顺若飞支行,,2020-04-29 10:08:52,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869129.html,3eefce19d4fcd3d7c2d149815faf3ba2,
贵阳市自然资源和规划局国有土地使用权挂牌出让公告(筑公资告[2019]089号),2019年10月28日 16:07,贵州省自然资源厅,GZ000001/2019-20697,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,贵阳市自然资源和规划局国有土地使用权挂牌出让公告(筑公资告[2019]089号),贵阳市自然资源和规划局国有土地使用权挂牌出让公告(筑公资告[2019]089号),|G〔19〕072|G〔19〕073,|58302.98平方米|80185.77平方米,|南明区后巢乡四方河村|南明区后巢乡四方河村,,|70年|70年,|大于或等于1并且小于或等于5.16|大于或等于1并且小于或等于4.19,,,,|城镇住宅用地|城镇住宅用地,|万元/公顷|万元/公顷,|15675万元|17505万元,,,,|2019年09月20日09时00分|2019年09月20日09时00分,,2019年09月20日 至 2019年10月22日 ,贵阳市公共资源交易中心网站(ggzy.guiyang.gov.cn)下载 ,2019年10月12日 至 2019年10月22日 ,贵阳市公共资源交易中心 ,2019年10月22日16时00分,2019年10月22日17时00分 ,贵阳市观山湖区中天会展中心SOHO办公区G座（会展东路与会展北路交叉口）三楼,,0851-84839730,,,,2020-04-29 10:08:53,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869141.html,727a1118497213eb275d2efb91ca63c0,
贵阳市自然资源和规划局国有土地使用权挂牌出让公告(筑公资告[2019]100号),2019年10月28日 16:09,贵州省自然资源厅,GZ000001/2019-20701,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,贵阳市自然资源和规划局国有土地使用权挂牌出让公告(筑公资告[2019]100号),贵阳市自然资源和规划局国有土地使用权挂牌出让公告(筑公资告[2019]100号),|G〔19〕076|G〔19〕077|G〔19〕078,|15206平方米|869平方米|92865平方米,|贵阳云岩区水东社区安井村|贵阳云岩区水东社区安井村|贵阳云岩区水东社区安井村,,|40年|40年|70年,|大于或等于1并且小于或等于5|大于或等于1并且小于或等于1.34|大于或等于1并且小于或等于2.5,|小于或等于45|小于或等于45|小于或等于30,|大于或等于25|大于或等于25|大于或等于30,|小于或等于400|小于或等于50|小于或等于80,|其他商服用地|其他商服用地|城镇住宅用地,|万元/公顷|万元/公顷|万元/公顷,|11405万元|175万元|37575万元,,,,|2019年10月15日09时00分|2019年10月15日09时00分|2019年10月15日09时00分,,2019年10月15日 至 2019年11月15日 ,贵阳市公共资源交易中心网站(ggzy.guiyang.gov.cn)下载 ,2019年11月05日 至 2019年11月15日 ,贵阳市公共资源交易中心 ,2019年11月15日16时00分,2019年11月15日17时00分 ,贵阳市观山湖区中天会展中心SOHO办公区G座（会展东路与会展北路交叉口）三楼,,0851-84839730,,,,2020-04-29 10:08:53,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869145.html,b37a88e150c4e28123dd146e40064371,
贵定县自然资源局国有土地使用权挂牌出让公告(贵国土地挂告字[2019]5号),2019年10月28日 16:10,贵州省自然资源厅,GZ000001/2019-20704,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,贵定县自然资源局国有土地使用权挂牌出让公告(贵国土地挂告字[2019]5号),贵定县自然资源局国有土地使用权挂牌出让公告(贵国土地挂告字[2019]5号),|GC2019-21|GC2019-22|GC2019-23|GC2019-24|GC2019-25,|4845平方米|2756平方米|9679平方米|24562平方米|10241平方米,|贵定县金南街道荷花村|贵定县金南街道荷花村|贵定县沿山镇沿山村|贵定县沿山镇沿山村|贵定县沿山镇沿山村,,|50年|50年|50年|50年|50年,|大于或等于0.7|大于或等于0.7|大于或等于1|大于或等于1|大于或等于0.5并且小于或等于1,|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30,|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20,|小于或等于15|小于或等于15|小于或等于20|小于或等于20|小于或等于20,|工业用地|工业用地|工业用地|工业用地|仓储用地,|470万元/公顷|470万元/公顷|590万元/公顷|590万元/公顷|万元/公顷,|20万元|11万元|36万元|90万元|39万元,,|96万元|55万元|177万元|448万元|194万元,|5万元|5万元|5万元|10万元|5万元,|2019年11月11日09时00分|2019年11月11日09时00分|2019年11月11日09时00分|2019年11月11日09时00分|2019年11月11日09时00分,,2019年10月25日 至 2019年11月20日 ,黔南州公共资源交易中心贵定县分中心 ,2019年10月25日 至 2019年11月20日 ,黔南州公共资源交易中心贵定县分中心 ,2019年11月20日18时00分,2019年11月21日18时00分 ,黔南州公共资源交易中心贵定县分中心,,0854-5225890,,,,2020-04-29 10:08:54,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869148.html,204fea0ce01a3cb02ca4fe007556956b,
黎平县自然资源局国有土地使用权挂牌出让公告(黎自然资挂告字[2019]11号),2019年10月28日 16:10,贵州省自然资源厅,GZ000001/2019-20703,土地出让转让公告,贵州省自然资源厅,2019年10月28日,无,是,黎平县自然资源局国有土地使用权挂牌出让公告(黎自然资挂告字[2019]11号),黎平县自然资源局国有土地使用权挂牌出让公告(黎自然资挂告字[2019]11号),|黎平经济开发区（中潮园）2019-5号宗地|黎平经济开发区（中潮园）2019-6号宗地,|5376.24平方米|16172.47平方米,|黎平经济开发区（中潮园）一、二号大道旁交叉口里边|黎平经济开发区（中潮园）二号大道与环线大道旁交叉口北面,,|50年|50年,|大于或等于1|大于或等于0.8,|大于或等于30|大于或等于30,|小于或等于20|小于或等于20,|小于或等于20|小于或等于20,|工业用地|工业用地,|1440万元/公顷|570万元/公顷,|45万元|134万元,,|89万元|267万元,|2万元|2万元,|2019年11月10日09时00分|2019年11月10日09时00分,,2019年10月18日 至 2019年11月18日 ,黔东南州公共资源交易中心国土矿权交易部（贵州省凯里市博南新区荷香居3-4栋裙楼3层大厅） ,2019年10月18日 至 2019年11月18日 ,黔东南州公共资源交易中心国土矿权交易部（贵州省凯里市博南新区荷香居3-4栋裙楼3层大厅） ,2019年11月18日17时00分,2019年11月18日17时00分 ,黔东南州公共资源交易中心,孔丽娟（州交易中心） 杨文奇(县自然资源局),0855-8685615（州交易中心）、13885550775（县交易中心）,黔东南州苗族侗族自治州公共资源交易中心,贵阳银行股份有限公司黔东南分行,18910121050000581,2020-04-29 10:08:54,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201910/t20191028_25869147.html,d39ba8dd6a8582be97659629ed256881,
道真自治县自然资源局国有土地使用权挂牌出让公告,2019年12月09日 09:52,贵州省自然资源厅,GZ000001/2019-24348,土地出让转让公告,贵州省自然资源厅,2019年12月09日,无,是,道真自治县自然资源局国有土地使用权挂牌出让公告,道真自治县自然资源局国有土地使用权挂牌出让公告(道自然资告字[2019]15号),|道县2019-24,|48585平方米,|道真县上坝乡八一社区竹王大道旁,,|70年,|等于2.5,,,,|城镇住宅用地,|万元/公顷,|4200万元,,|6920万元,|80万元,|2019年12月11日08时00分,,2019年11月21日至2019年12月18日,遵义市公共资源交易中心,2019年11月21日至2019年12月18日,遵义市公共资源交易中心,2019年12月18日16时00分,2019年12月20日16时00分,道真自治县玉溪镇淞江东路（三小斜对面）,汪 东,13984215748,道真仡佬族苗族自治县自然资源局,贵州银行股份有限公司道真县支行,,2020-04-29 10:08:55,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191209_36553429.html,a9d886233b96d3415f05f5d9358530ef,
毕节市七星关区自然资源局国有土地使用权挂牌出让公告,2019年12月09日 09:54,贵州省自然资源厅,GZ000001/2019-24353,土地出让转让公告,贵州省自然资源厅,2019年12月09日,无,是,毕节市七星关区自然资源局国有土地使用权挂牌出让公告,毕节市七星关区自然资源局国有土地使用权挂牌出让公告(毕资告（土矿）字[2019]255号),|七星关区2018-CR-088,|50478.47平方米,|七星关区德溪街道后河社区、鸭池镇甘海子社区,,|50年,|小于或等于2,|小于或等于30,|大于或等于40,|小于或等于60,|医疗卫生用地,|万元/公顷保证金：1800万元估价报告备案号5203919BC0006现状土地条件：起始价：5850万元加价幅度：10万元挂牌开始时间：2019年12月16日08时30分挂牌截止时间：2019年12月26日12时00分二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人可以单独申请，也可以联合申请。三、 本次国有土地使用权挂牌出让按照价高者得原则确定竞得人。四、 本次挂牌出让的详细资料和具体要求，见挂牌出让文件。申请人可于2019年11月25日至2019年12月24日到毕节市公共资源交易中心一楼大厅受理窗口获取 挂牌 出让文件。五、 申请人可于2019年11月25日至2019年12月24日到毕节市公共资源交易中心一楼大厅受理窗口向我局提交书面申请。交纳竞买保证金的截止时间为2019年12月24日16时00分。经审核，申请人按规定交纳竞买,|1800万元,,|5850万元,|10万元,|2019年12月16日08时30分,|2019年12月26日12时00分,2019年11月25日至2019年12月24日,毕节市公共资源交易中心一楼大厅受理窗口,2019年11月25日至2019年12月24日,毕节市公共资源交易中心一楼大厅受理窗口,2019年12月24日16时00分,2019年12月24日17时30分,毕节市七星关区学院路（东客站旁）金帝豪庭一、二楼,周冬梅 魏忠於 柴珏 刘玮,0857-8315972 8317252 8317294,毕节市公共资源交易中心,贵阳银行毕节分行,17710121050000418,2020-04-29 10:08:56,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191209_36553434.html,7206f7d4f30d11613b33782a045ae19c,
遵义市汇川区自然资源局国有土地使用权挂牌出让公告,2019年12月09日 09:55,贵州省自然资源厅,GZ000001/2019-24357,土地出让转让公告,贵州省自然资源厅,2019年12月09日,无,是,遵义市汇川区自然资源局国有土地使用权挂牌出让公告,遵义市汇川区自然资源局国有土地使用权挂牌出让公告(遵汇自然告字[2019]14号),|2019-HC-01|2019-HC-02|2019-HC-03|2019-HC-04|2019-HC-05,|5330平方米|2332平方米|24933平方米|79342平方米|6268平方米,|汇川区板桥镇板桥社区|汇川区芝麻镇芝麻社区|汇川区山盆镇山盆村|汇川区板桥镇娄山关社区|汇川区松林镇客运站旁,,|70年|70年|70年|70年|70年,|大于1并且小于或等于1.77|大于1并且小于或等于1.24|大于1并且小于或等于2.08|大于1并且小于或等于1.02|大于1并且小于或等于1.7,||||小于或等于30|小于或等于35,||||大于或等于20|大于或等于30,,|城镇住宅用地|城镇住宅用地|城镇住宅用地|城镇住宅用地|城镇住宅用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|127万元|29万元|382万元|1333万元|125万元,,|632万元|144万元|1908万元|6665万元|621万元,|20万元|10万元|30万元|80万元|20万元,|2019年10月24日00时00分|2019年10月24日00时00分|2019年10月24日00时00分|2019年10月24日00时00分|2019年10月24日00时00分,,2019年10月24日至2019年12月15日,遵义市公共资源交易中心,2019年10月24日至2019年12月15日,遵义市公共资源交易中心,2019年12月15日00时00分,2019年12月15日00时00分,遵义市新蒲新区播州大道遵义市政务服务中心大楼801室,,0851-28766816、28766817,,,,2020-04-29 10:08:56,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191209_36553438.html,d10147a17a40f4e5fb4ada66818d9978,
贵阳市公共资源交易中心国有土地使用权挂牌出让公告,2019年12月09日 09:56,贵州省自然资源厅,GZ000001/2019-24359,土地出让转让公告,贵州省自然资源厅,2019年12月09日,无,是,贵阳市公共资源交易中心国有土地使用权挂牌出让公告,贵阳市公共资源交易中心国有土地使用权挂牌出让公告(筑公资告[2019]地字第129号),|G(19)104,|407070.19平方米,|高新区沙文生态科技产业园,,|50年,|大于或等于0.7并且小于或等于1.5,|大于或等于40并且小于或等于60,|等于20,|小于或等于50,|工业用地,|4350万元/公顷,|2965万元,,|14818万元,|200万元,|2019年12月17日09时00分,|2019年12月30日15时00分,2019年11月26日至2019年12月27日,贵阳市公共资源交易中心网站,2019年12月17日至2019年12月27日,贵阳市公共资源交易中心二楼211室,2019年12月27日16时00分,2019年12月27日17时00分,贵阳市观山湖区中天会展中心SOHO办公区G座三楼,贵阳市公共资源交易中心,085184839730,,,,2020-04-29 10:08:57,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191209_36553440.html,8aca35060dd00c073be5c191dd3e7d19,
仁怀市自然资源局国有土地使用权挂牌出让公告,2019年12月10日 17:42,贵州省自然资源厅,GZ000001/2019-25662,土地出让转让公告,贵州省自然资源厅,2019年12月10日,无,是,仁怀市自然资源局国有土地使用权挂牌出让公告,仁怀市自然资源局国有土地使用权挂牌出让公告(仁自然资挂告字[2019]第19号),|2012-G-1-1,|14500.2平方米,|合马镇合马街道,,|50年,|大于或等于1并且小于或等于3,|大于或等于30并且小于或等于70,|小于或等于20,|小于或等于18,|工业用地,|万元/公顷,|75万元,,|375万元,|5万元,|2019年12月27日09时00分,|2020年01月07日10时00分二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人可以单独申请，也可以联合申请。申请人应具备的其他条件：（一）合法的企业资质；（,2019年12月27日至2020年01月05日,仁怀市自然资源服务中心,2019年12月27日至2020年01月05日,仁怀市自然资源服务中心,2020年01月05日16时00分,2020年01月05日17时00分,盐津街道陈香南路268,许女士,0851-22286126,仁怀市财政局国库科,贵州银行股份有限公司仁怀市支行,,2020-04-29 10:08:58,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191210_36554846.html,e4c4a8734f435fbf848fb0c37ae8466a,
清镇市自然资源局国有土地使用权挂牌出让公告,2019年12月10日 17:42,贵州省自然资源厅,GZ000001/2019-25661,土地出让转让公告,贵州省自然资源厅,2019年12月10日,无,是,清镇市自然资源局国有土地使用权挂牌出让公告,清镇市自然资源局国有土地使用权挂牌出让公告(筑公资告[2019]地字第132号),|QZ（19）066|QZ（19）067|QZ（19）068|QZ（19）069|QZ（19）070|QZ（19）071|QZ（19）072|QZ（19）073|QZ（19）074,|24278平方米|10873平方米|30648平方米|65044平方米|13810平方米|1161平方米|1543平方米|208平方米|10117平方米,|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内|清镇市站街镇三河村境内,,|70年|70年|70年|70年|40年|40年|40年|40年|70年,|大于或等于1并且小于或等于2.9|大于或等于1并且小于或等于1.9|大于或等于1并且小于或等于2.9|大于或等于1并且小于或等于2.9|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5|小于或等于1.2|小于或等于1.2|大于或等于1并且小于或等于2,|小于或等于22|小于或等于30|小于或等于22|小于或等于22|小于或等于35|小于或等于35|小于或等于35|小于或等于35|小于或等于30,|大于或等于35|大于或等于30|大于或等于35|大于或等于35|大于或等于30|大于或等于30|大于或等于25|大于或等于25|大于或等于30,|等于80|等于36|等于80|等于80|小于或等于54|等于54|等于36|等于36|等于36,|城镇住宅用地|城镇住宅用地|城镇住宅用地|城镇住宅用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地|城镇住宅用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|2055万元|795万元|2595万元|5505万元|1505万元|130万元|135万元|18万元|765万元,,|6850万元|2650万元|8650万元|18350万元|5010万元|425万元|440万元|60万元|2550万元,|250万元|115万元|300万元|450万元|195万元|22万元|22万元|3万元|110万元,|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分|2019年12月26日09时00分,,2019年12月05日至2020年01月07日,贵阳市公共资源交易监管网下载,2019年12月26日至2020年01月07日,贵阳市公共资源交易中心,2020年01月07日16时00分,2020年01月07日17时00分,贵阳市观山湖区中天会展中心SOHO办公区G座,,0851-84839730、84839731,,,,2020-04-29 10:08:58,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191210_36554845.html,5fe69b44df2622db95ac401327f86629,
凯里市自然资源局国有土地使用权挂牌出让公告,2019年12月10日 17:43,贵州省自然资源厅,GZ000001/2019-25664,土地出让转让公告,贵州省自然资源厅,2019年12月10日,无,是,凯里市自然资源局国有土地使用权挂牌出让公告,凯里市自然资源局国有土地使用权挂牌出让公告(凯自然资告[2019]70号),|凯自然资挂〔2019〕27号,|27308.1平方米,|凯里一中至康巴水库城市主干道东侧,,|70年,|大于1并且小于或等于2.2,|小于或等于25,|大于或等于30,|小于或等于40,|城镇住宅用地,|万元/公顷保证金：1500万元估价报告备案号5205319BA0336现状土地条件：土地按现状出让起始价：3280万元加价幅度：5万元挂牌开始时间：2019年12月27日09时00分挂牌截止时间：2020年01月06日15时00分二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人可以单独申请，也可以联合申请。三、 本次国有土地使用权挂牌出让按照价高者得原则确定竞得人。四、 本次挂牌出让的详细资料和具体要求，见挂牌出让文件。申请人可于2019年12月06日至2020年01月03日到黔东南州公共资源交易中心国土矿权交易获取 挂牌 出让文件。五、 申请人可于2019年12月06日至2020年01月03日到黔东南州公共资源交易中心向我局提交书面申请。交纳竞买保证金的截止时间为2020年01月03日17时00分。经审核，申请人按规定交纳竞买,|1500万元,,|3280万元,|5万元,|2019年12月27日09时00分,|2020年01月06日15时00分,2019年12月06日至2020年01月03日,黔东南州公共资源交易中心国土矿权交易,2019年12月06日至2020年01月03日,黔东南州公共资源交易中心,2020年01月03日17时00分,2020年01月03日17时00分,黔东南州公共资源交易中心（贵州省凯里市博南新区荷香居3-4栋裙楼3层大厅）,丁滔、孔利娟,15902552555、0855-3962618、0855-8685615,黔东南苗族侗族自治州公共资源交易中心,贵阳银行股份有限公司黔东南分行,18910121050000581,2020-04-29 10:08:59,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191210_36554848.html,795d3a4c5bf3472bcac032a5d3cd5a1f,
安顺市西秀区自然资源局国有土地使用权挂牌出让公告,2019年12月10日 17:45,贵州省自然资源厅,GZ000001/2019-25665,土地出让转让公告,贵州省自然资源厅,2019年12月10日,无,是,安顺市西秀区自然资源局国有土地使用权挂牌出让公告,安顺市西秀区自然资源局国有土地使用权挂牌出让公告(安市公资交（地）字告[2019]91号),|2019-西区挂-28号|2019-西区挂-39号,|32684.6平方米|22162.6平方米,|西秀区二环路与安普快线交叉口西南侧|西秀区中华西路与市西路交叉口西北侧,,|70年|70年,|等于3|等于3.53,|等于28|等于40,|等于35|等于30,,|城镇住宅用地|城镇住宅用地,|万元/公顷|万元/公顷保证金：5153万元估价报告备案号起始价：10306万元加价幅度：10万元挂牌开始时间：2019年12月03日09时30分挂牌截止时间：2020年01月03日16时00分二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人可以单独申请，也可以联合申请。三、 本次国有土地使用权挂牌出让按照价高者得原则确定竞得人。四、 本次挂牌出让的详细资料和具体要求，见挂牌出让文件。申请人可于2019年12月03日至2019年12月30日到安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）获取 挂牌 出让文件。五、 申请人可于2019年12月03日至2019年12月30日到安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）向我局提交书面申请。交纳竞买保证金的截止时间为2019年12月03日16时00分。经审核，申请人按规定交纳竞买,|5868万元|5153万元,,|11735万元|10306万元,|10万元|10万元,|2019年12月03日09时30分|2019年12月03日09时30分,||2020年01月03日16时00分二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人可以单独申请，也可以联合申请。三、 本次国有土地使用权挂牌出让按照价高者得原则确定竞得人。四、 本次挂牌出让的详细资料和具体要求，见挂牌出让文件。申请人可于2019年12月03日至2019年12月30日到安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）获取 挂牌 出让文件。五、 申请人可于2019年12月03日至2019年12月30日到安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）向我局提交书面申请。交纳竞买保证金的截止时间为2019年12月03日16时00分。经审核，申请人按规定交纳竞买保证金，具备申请条件的，我局将在2019年12月30日16时00分前确认其竞买资格。六、 本次国有土地使用权挂牌活动在安顺市公共资源交易中心（安顺市西秀区武当山路与北,2019年12月03日至2019年12月30日,安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）,2019年12月03日至2019年12月30日,安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）,2019年12月03日16时00分,2019年12月30日16时00分,安顺市公共资源交易中心（安顺市西秀区武当山路与北二环路交叉口东南角）,王信,085133320730,安顺市公共资源交易中心,贵州银行安顺若飞支行,,2020-04-29 10:09:00,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201912/t20191210_36554849.html,aed46d2c5fdb9f10fa316b00931b3733,
